Squad,Command,Agent,Category,Description,Input,Output,Quick
marketing,calendar,content-strategist,strategy,Cria calendario editorial,-,editorial_calendar (yaml),no
marketing,write-copy,copy-specialist,execution,Escreve copy para qualquer formato,format (text) + brief (md),copy (md),no
marketing,headline,copy-specialist,execution,Cria variacoes de headline,topic (text) + count (number),headlines (list),yes
marketing,cta,copy-specialist,execution,Cria CTAs de alta conversao,-,-,yes
marketing,rewrite,copy-specialist,execution,Melhora copy existente,original (md) + goal (text),improved_copy (md),no
marketing,design-funnel,funnel-architect,strategy,Desenha funil completo,goal (text) + traffic_source (text),funnel_design (md),no
marketing,map-journey,funnel-architect,analysis,Mapeia jornada do cliente,-,customer_journey (md),no
marketing,optimize-funnel,funnel-architect,analysis,Sugere otimizacoes de funil,funnel_data (yaml),optimization_plan (md),no
marketing,offer-review,offer-engine,review,Analisa e melhora oferta existente,offer (md),offer_analysis (md),no
marketing,grand-slam,offer-engine,execution,Cria Grand Slam Offer do zero,market (text) + avatar (yaml),grand_slam_offer (md),no
marketing,pricing,offer-engine,strategy,Define estrategia de preco com value stacking,offer (md),pricing_strategy (md),no
marketing,keyword-research,seo-specialist,analysis,Pesquisa de keywords,topic (text) + intent (text),keyword_report (md),no
marketing,seo-brief,seo-specialist,execution,Brief SEO para artigo,keyword (text),seo_brief (md),no
marketing,audit-seo,seo-specialist,analysis,Auditoria SEO de pagina,url (text),seo_audit (md),no
marketing,cluster,seo-specialist,strategy,Cria cluster de conteudo,pillar_topic (text),content_cluster (md),no
sales,strategy,sales-lead,strategy,Define sales strategy,market (text) + period (text),sales_strategy (md),no
sales,review-deal,sales-lead,review,Review specific deal,deal_data (yaml) + stage (text),deal_review (md),no
sales,coach,sales-lead,execution,Coach on specific sales situation,scenario (text) + context (md),coaching_advice (md),no
sales,forecast,sales-lead,analysis,Generate sales forecast,pipeline_data (yaml) + period (text),forecast_report (md),no
sales,qualify,sales-lead,analysis,Evaluate lead qualification,lead_data (yaml),qualification_report (md),no
sales,discovery,closer,execution,Run discovery session framework,prospect_info (yaml),discovery_script (md),no
sales,objection,closer,execution,Handle specific objection,objection (text),response_script (md),yes
sales,close,closer,execution,Closing strategies for scenario,deal_context (md),closing_plan (md),no
sales,prospect,sdr,execution,Find and qualify prospects,icp (yaml),prospect_list (yaml),no
sales,outreach,sdr,execution,Create outreach sequence,channel (text) + persona (yaml),outreach_sequence (md),no
sales,pipeline-review,sales-analyst,analysis,Full pipeline analysis,pipeline_data (yaml),pipeline_analysis (md),no
sales,win-loss,sales-analyst,analysis,Win/loss analysis,deals (yaml) + period (text),win_loss_report (md),no
design,review,design-lead,review,Review creative for approval,assets (files) + brief (md),review_report (md),no
design,direction,design-lead,strategy,Set creative direction,project (text) + objectives (yaml),creative_direction (md),no
design,standards,design-lead,strategy,Define visual standards,client (text) + brand_guidelines (md),visual_standards (md),no
design,approve,design-lead,review,Final approval for deliverable,asset (file) + checklist (yaml),approval_decision (md),no
design,carousel,visual-systems-designer,execution,Create carousel system,content (md) + platform (text),carousel_design (md),no
design,infographic,visual-systems-designer,execution,Create infographic,data (yaml),infographic_spec (md),no
design,template,visual-systems-designer,execution,Create reusable template,type (text),template_spec (md),no
design,create-ad,performance-designer,execution,Create ad creative,brief (md) + platform (text),ad_creative (md),no
design,variants,performance-designer,execution,Generate creative variants,original (file) + count (number),variant_specs (md),no
design,adapt,performance-designer,execution,Adapt creative for platform,original (file) + target_platform (text),adapted_spec (md),yes
design,vsl-structure,motion-video-specialist,execution,Create VSL visual structure,script (md),vsl_storyboard (md),no
design,video-ad,motion-video-specialist,execution,Create video ad,brief (md) + duration (number),video_spec (md),no
design,reel,motion-video-specialist,execution,Create reel/short format,hook (text),reel_spec (md),yes
customer,health,customer-lead,analysis,Customer health check,customer_id (text) + metrics (yaml),health_report (md),no
customer,risk,customer-lead,analysis,Identify at-risk customers,period (text) + threshold (number),risk_report (md),no
customer,expand,customer-lead,strategy,Find expansion opportunities,customer_id (text) + usage_data (yaml),expansion_plan (md),no
customer,intervene,customer-lead,execution,Plan intervention for at-risk customer,customer_id (text) + issue (text),intervention_plan (md),no
customer,design-onboarding,onboarding-architect,strategy,Design onboarding flow,product (text) + segments (list),onboarding_design (md),no
customer,optimize-onboarding,onboarding-architect,analysis,Optimize existing onboarding,current_flow (yaml) + metrics (yaml),optimization_plan (md),no
customer,sequence,onboarding-architect,execution,Create onboarding email sequence,journey_stage (text),email_sequence (md),no
growth,prioritize,growth-lead,strategy,Prioritize growth initiatives (ICE/RICE),initiatives (list) + criteria (yaml),priority_matrix (md),no
growth,experiment,growth-lead,strategy,Design growth experiment,hypothesis (text) + metrics (list),experiment_design (md),no
growth,wave,growth-lead,strategy,Create coordinated growth wave,target (text) + timeline (text),wave_plan (md),no
growth,analyze-experiment,growth-lead,analysis,Analyze experiment results,experiment_id (text) + data (yaml),analysis_report (md),no
growth,analyze,data-analyst,analysis,Analyze specific metric or funnel,metric (text) + period (text),metric_analysis (md),no
growth,cohort,data-analyst,analysis,Run cohort analysis,cohort_definition (yaml),cohort_report (md),no
growth,ab-result,data-analyst,analysis,Analyze A/B test results,test_data (yaml),ab_analysis (md),no
qa,run-gate,qa-lead,review,Execute release quality gate,artifact (any) + artifact_type (text),gate_report (md),no
qa,validate,qa-lead,review,Validate deliverable against DoD,deliverable (any) + dod_id (text),validation_report (md),no
qa,audit,qa-lead,analysis,Audit process or artifact for compliance,target (path) + audit_type (text),audit_report (md),no
qa,define-standard,qa-lead,strategy,Create or update quality standard,domain (text) + criteria (yaml),standard_doc (md),no
qa,review-content,content-reviewer,review,Review content piece for quality,content (md) + content_type (text),review_report (md),no
qa,verify,content-reviewer,review,Verify specific claims in content,claims (list) + sources (list),verification_report (md),no
qa,feedback,content-reviewer,review,Provide detailed feedback on content,content (md) + focus_areas (list),feedback_doc (md),no
qa,audit-process,process-auditor,analysis,Audit a workflow or process,process_id (text) + audit_scope (text),audit_findings (md),no
qa,verify-compliance,process-auditor,review,Check compliance against requirements,deliverable (any) + requirements (yaml),compliance_report (md),no
qa,analyze-logs,process-auditor,analysis,Analyze activity logs for patterns,log_data (path) + analysis_type (text),log_analysis (md),no
finance,report,finance-lead,analysis,Generate financial report,period (text) + report_type (text),financial_report (md),no
finance,approve-expense,finance-lead,review,Approve expenditure request,amount (number) + category (text) + justification (text),approval_decision (md),no
finance,forecast,finance-lead,analysis,Generate revenue/cost forecast,period (text) + assumptions (yaml),forecast_report (md),no
finance,alert,finance-lead,coordination,Trigger budget alert,threshold (text) + current_spend (number),alert_notification (md),no
finance,unit-economics,financial-analyst,analysis,Calculate unit economics (CAC LTV etc),revenue_data (yaml) + cost_data (yaml),unit_economics_report (md),no
finance,viability,financial-analyst,analysis,Assess financial viability,business_model (yaml) + assumptions (yaml),viability_report (md),no
finance,scenario,financial-analyst,analysis,Run financial scenarios (best/worst/base),base_case (yaml) + variables (list),scenario_analysis (md),no
finance,kpi-report,financial-analyst,analysis,Generate KPI dashboard,period (text) + metrics (list),kpi_report (md),no
finance,review-pricing,pricing-strategist,review,Review pricing strategy,current_pricing (yaml) + market_data (yaml),pricing_review (md),no
finance,tier,pricing-strategist,strategy,Design pricing tiers,value_props (yaml) + segments (list),tier_design (md),no
finance,test-price,pricing-strategist,strategy,Design price test,hypothesis (text) + metrics (list),test_plan (md),no
finance,elasticity,pricing-strategist,analysis,Analyze pricing elasticity,price_changes (yaml) + volume_data (yaml),elasticity_report (md),no
translator,coordinate,translation-lead,coordination,Coordinate translation project,source_content (md) + target_languages (list),project_plan (md),no
translator,glossary,translation-lead,execution,Manage terminology glossary,action (text) + terms (yaml),glossary_update (md),no
translator,review-translation,translation-lead,review,Review translation quality,translation (md) + source (md) + language (text),review_report (md),no
translator,localize,translation-lead,execution,Adapt content for specific market,content (md) + market (text),localized_content (md),no
board,mental-models,charlie-munger,analysis,Analyze using mental models checklist,decision (md),models_analysis (md),no
board,invert,charlie-munger,analysis,Apply inversion to problem,problem (text),inversion_memo (md),no
board,risk-blindspots,charlie-munger,analysis,Identify psychological blindspots,proposal (md),blindspots_memo (md),no
board,product-review,steve-jobs,review,Product experience review,product (md),product_memo (md),no
board,simplify,steve-jobs,analysis,Radical simplification analysis,design (md),simplification_memo (md),no
board,vision,steve-jobs,strategy,Product vision articulation,context (md),vision_memo (md),no
board,offer-review,alex-hormozi,review,Analyze offer using value equation,offer (md) + market (text),offer_memo (md),no
board,value-equation,alex-hormozi,analysis,Score offer against value equation,offer (md),value_score (md),no
board,grand-slam,alex-hormozi,execution,Design grand slam offer from scratch,market (text) + avatar (yaml),grand_slam_offer (md),no
board,positioning-review,dan-kennedy,review,Analyze positioning strength,brand (text) + market (text),positioning_memo (md),no
board,message-clarity,dan-kennedy,review,Assess message clarity,copy (md) + audience (text),clarity_report (md),no
board,sophistication,dan-kennedy,analysis,Analyze market sophistication level (1-5),market (text) + competitors (list),sophistication_analysis (md),no
board,first-principles,elon-musk,analysis,First principles analysis,problem (text),principles_analysis (md),no
board,cost-decompose,elon-musk,analysis,Break down costs to physics floor,item (text) + current_cost (number),cost_analysis (md),no
board,system-review,elon-musk,review,First principles system analysis,system (md) + constraints (yaml),system_memo (md),no
board,moat-review,peter-thiel,review,Competitive moat analysis,business (md) + market (text),moat_analysis (md),no
board,secret-find,peter-thiel,analysis,Identify non-obvious advantages,situation (text),secret_assessment (md),no
board,zero-to-one,peter-thiel,analysis,Evaluate if opportunity is truly new,opportunity (md),innovation_analysis (md),no
board,principles-check,ray-dalio,review,Check alignment with principles,decision (text) + principles (yaml),alignment_report (md),no
board,root-cause,ray-dalio,analysis,Deep root cause analysis (5 whys),problem (text) + context (md),root_cause_analysis (md),no
board,encode-principle,ray-dalio,execution,Create new principle from learning,situation (text) + outcome (text),new_principle (md),no
board,platform-direction,bill-gates,strategy,Platform strategy analysis,business (md) + market (text),platform_memo (md),no
board,network-effect,bill-gates,analysis,Analyze network effect potential,model (md),network_analysis (md),no
board,long-term-review,bill-gates,review,5-10 year strategic review,current_state (md) + trends (yaml),long_term_memo (md),no
design-system,audit,design-system,analysis,Scan codebase for UI pattern redundancies,path (path),audit_report (md),no
design-system,consolidate,design-system,execution,Reduce redundancy using clustering,audit_report (md),consolidation_plan (md),no
design-system,tokenize,design-system,execution,Generate design token system,patterns (yaml),tokens (yaml),no
design-system,migrate,design-system,strategy,Create phased migration strategy,current_state (md),migration_plan (md),no
design-system,calculate-roi,design-system,analysis,Cost analysis and savings projection,scope (yaml),roi_report (md),no
design-system,shock-report,design-system,analysis,Generate visual HTML report showing UI chaos + ROI,-,shock_report (html),no
design-system,setup,design-system,execution,Initialize design system structure,-,ds_scaffold (files),no
design-system,build,design-system,execution,Generate production-ready component,component_spec (yaml),component (code),no
design-system,compose,design-system,execution,Build molecule from existing atoms,atoms (list),molecule_spec (yaml),no
design-system,ds-health,design-system,analysis,Generate comprehensive health dashboard,-,health_dashboard (md),no
design-system,dead-code,design-system,analysis,Find unused tokens and components,path (path),dead_code_report (md),no
design-system,refactor-plan,design-system,strategy,Analyze codebase for refactoring candidates,path (path),refactor_plan (md),no
